Group.1,n
"05113.Other, Non-Hispanic",731
"05113.White, Non-Hispanic",13866
"05115.Black, Non-Hispanic",1537
05115.Hispanic,3660
"05115.Other, Non-Hispanic",1554
"05115.White, Non-Hispanic",42409
"05117.Black, Non-Hispanic",767
05117.Hispanic,114
"05117.Other, Non-Hispanic",69
"05117.White, Non-Hispanic",5595
"05119.Black, Non-Hispanic",104674
05119.Hispanic,14771
"05119.Other, Non-Hispanic",12487
"05119.White, Non-Hispanic",169370
"05121.Black, Non-Hispanic",184
05121.Hispanic,225
"05121.Other, Non-Hispanic",263
"05121.White, Non-Hispanic",12877
"05123.Black, Non-Hispanic",10246
05123.Hispanic,773
"05123.Other, Non-Hispanic",294
"05123.White, Non-Hispanic",8638
"05125.Black, Non-Hispanic",5938
05125.Hispanic,3332
"05125.Other, Non-Hispanic",2733
"05125.White, Non-Hispanic",79405
"05127.Black, Non-Hispanic",16
05127.Hispanic,273
"05127.Other, Non-Hispanic",564
"05127.White, Non-Hispanic",6881
"05129.Black, Non-Hispanic",11
05129.Hispanic,143
"05129.Other, Non-Hispanic",257
"05129.White, Non-Hispanic",5903
"05131.Black, Non-Hispanic",6127
05131.Hispanic,11099
"05131.Other, Non-Hispanic",8555
"05131.White, Non-Hispanic",70999
"05133.Black, Non-Hispanic",598
05133.Hispanic,3394
"05133.Other, Non-Hispanic",506
"05133.White, Non-Hispanic",7692
"05135.Black, Non-Hispanic",89
05135.Hispanic,263
"05135.Other, Non-Hispanic",385
"05135.White, Non-Hispanic",12784
"05137.Black, Non-Hispanic",11
05137.Hispanic,153
"05137.Other, Non-Hispanic",303
"05137.White, Non-Hispanic",9573
"05139.Black, Non-Hispanic",9403
05139.Hispanic,893
"05139.Other, Non-Hispanic",663
"05139.White, Non-Hispanic",18967
"05141.Black, Non-Hispanic",68
05141.Hispanic,390
"05141.Other, Non-Hispanic",312
"05141.White, Non-Hispanic",12575
"05143.Black, Non-Hispanic",6082
05143.Hispanic,23790
"05143.Other, Non-Hispanic",13237
"05143.White, Non-Hispanic",132156
"05145.Black, Non-Hispanic",2628
05145.Hispanic,2097
"05145.Other, Non-Hispanic",1416
"05145.White, Non-Hispanic",54171
"05147.Black, Non-Hispanic",1401
05147.Hispanic,5
"05147.Other, Non-Hispanic",80
"05147.White, Non-Hispanic",3642
"05149.Black, Non-Hispanic",460
05149.Hispanic,2626
"05149.Other, Non-Hispanic",333
"05149.White, Non-Hispanic",12821
"06001.Black, Non-Hispanic",142152
06001.Hispanic,262176
"06001.Other, Non-Hispanic",463101
"06001.White, Non-Hispanic",445298
"06003.Black, Non-Hispanic",9
06003.Hispanic,102
"06003.Other, Non-Hispanic",229
"06003.White, Non-Hispanic",495
"06005.Black, Non-Hispanic",879
06005.Hispanic,4115
"06005.Other, Non-Hispanic",1620
"06005.White, Non-Hispanic",25967
"06007.Black, Non-Hispanic",2934
06007.Hispanic,25804
"06007.Other, Non-Hispanic",16073
"06007.White, Non-Hispanic",135569
"06009.Black, Non-Hispanic",274
06009.Hispanic,4023
"06009.Other, Non-Hispanic",2115
"06009.White, Non-Hispanic",31289
"06011.Black, Non-Hispanic",303
06011.Hispanic,8416
"06011.Other, Non-Hispanic",603
"06011.White, Non-Hispanic",6287
"06013.Black, Non-Hispanic",77157
06013.Hispanic,200761
"06013.Other, Non-Hispanic",188651
"06013.White, Non-Hispanic",414478
"06015.Black, Non-Hispanic",757
06015.Hispanic,3951
"06015.Other, Non-Hispanic",2773
"06015.White, Non-Hispanic",14094
"06017.Black, Non-Hispanic",1268
06017.Hispanic,16530
"06017.Other, Non-Hispanic",11706
"06017.White, Non-Hispanic",121137
"06019.Black, Non-Hispanic",33339
06019.Hispanic,342177
"06019.Other, Non-Hispanic",90332
"06019.White, Non-Hispanic",237831
"06021.Black, Non-Hispanic",228
